,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
308,020012802,POINT (-58.39056179123244 -34.62457101538324),Comuna 1,0018,020010018
309,020012803,POINT (-58.3886261125022 -34.624829343666384),Comuna 1,0018,020010018
310,020012804,POINT (-58.38649297195591 -34.6236230900954),Comuna 1,0018,020010018
311,020012805,POINT (-58.38426371846011 -34.62304850261328),Comuna 1,0018,020010018
312,020012806,POINT (-58.385086913108495 -34.62413727883324),Comuna 1,0018,020010018
313,020012807,POINT (-58.382517653398374 -34.623626590252655),Comuna 1,0018,020010018
314,020012808,POINT (-58.38175263705466 -34.62574673461956),Comuna 1,0018,020010018
315,020012809,POINT (-58.38362707741971 -34.62584350161759),Comuna 1,0018,020010018
316,020012810,POINT (-58.3854855349174 -34.626106618977296),Comuna 1,0018,020010018
317,020012811,POINT (-58.38647796310566 -34.625475711662276),Comuna 1,0018,020010018
318,020012812,POINT (-58.38776982238116 -34.62552977796902),Comuna 1,0018,020010018
319,020012813,POINT (-58.38960679120161 -34.62637916979413),Comuna 1,0018,020010018
259,020012301,POINT (-58.37663504168294 -34.61740056652054),Comuna 1,0002,020010002
260,020012302,POINT (-58.37513312393459 -34.617915951070124),Comuna 1,0002,020010002
261,020012303,POINT (-58.37520865774906 -34.61672510970136),Comuna 1,0002,020010002
262,020012304,POINT (-58.3738007321849 -34.61662869551364),Comuna 1,0002,020010002
263,020012305,POINT (-58.37239345092486 -34.6166041727909),Comuna 1,0002,020010002
264,020012306,POINT (-58.372352788490616 -34.61783984764311),Comuna 1,0002,020010002
265,020012307,POINT (-58.37372106973296 -34.61785489762261),Comuna 1,0002,020010002
266,020012308,POINT (-58.372971262018616 -34.619050195753296),Comuna 1,0002,020010002
267,020012309,POINT (-58.37507844190381 -34.61910452189878),Comuna 1,0002,020010002
268,020012310,POINT (-58.376553530721154 -34.61912960486954),Comuna 1,0002,020010002
269,020012401,POINT (-58.37056285092951 -34.61625521077408),Comuna 1,0002,020010002
270,020012402,POINT (-58.36872520423419 -34.61649606353359),Comuna 1,0002,020010002
271,020012403,POINT (-58.36864583108671 -34.61803344226877),Comuna 1,0002,020010002
272,020012404,POINT (-58.370852951836575 -34.61894848964839),Comuna 1,0002,020010002
273,020012405,POINT (-58.36963620677827 -34.61887473076256),Comuna 1,0002,020010002
274,020012406,POINT (-58.36921398064666 -34.62050101052993),Comuna 1,0002,020010002
277,020012501,POINT (-58.37357398612151 -34.62019029906717),Comuna 1,0002,020010002
288,020012601,POINT (-58.376509911211116 -34.620288128433494),Comuna 1,0002,020010002
289,020012602,POINT (-58.37502134887773 -34.62023662224426),Comuna 1,0002,020010002
275,020012407,POINT (-58.36710823037721 -34.62249684974512),Comuna 1,0001,020010001
276,020012408,POINT (-58.36890708630194 -34.62407808548178),Comuna 1,0001,020010001
278,020012502,POINT (-58.37213736594628 -34.620717717721895),Comuna 1,0001,020010001
279,020012503,POINT (-58.37063303839027 -34.62125470583036),Comuna 1,0001,020010001
280,020012504,POINT (-58.372037205827695 -34.62247969421065),Comuna 1,0001,020010001
281,020012505,POINT (-58.373483994282104 -34.62197590756231),Comuna 1,0001,020010001
282,020012506,POINT (-58.372649543104814 -34.623734944909664),Comuna 1,0001,020010001
283,020012507,POINT (-58.370491008580004 -34.623588943254134),Comuna 1,0001,020010001
284,020012508,POINT (-58.37044410076246 -34.624759260554406),Comuna 1,0001,020010001
285,020012509,POINT (-58.37189831031715 -34.62485124615257),Comuna 1,0001,020010001
286,020012510,POINT (-58.373282913119354 -34.62556669357614),Comuna 1,0001,020010001
287,020012511,POINT (-58.37001690406623 -34.62668345915724),Comuna 1,0001,020010001
290,020012603,POINT (-58.374942543416935 -34.62138052621635),Comuna 1,0001,020010001
291,020012604,POINT (-58.37645729711097 -34.621453031618714),Comuna 1,0001,020010001
292,020012605,POINT (-58.376320008914284 -34.623410973527086),Comuna 1,0001,020010001
293,020012606,POINT (-58.37487488113684 -34.62264563336094),Comuna 1,0001,020010001
294,020012607,POINT (-58.37479175696433 -34.623910261029394),Comuna 1,0001,020010001
295,020012608,POINT (-58.375306007479644 -34.62522388764468),Comuna 1,0001,020010001
296,020012609,POINT (-58.37495591968634 -34.62634943713094),Comuna 1,0001,020010001
297,020012701,POINT (-58.383595379701745 -34.62724195286192),Comuna 1,0019,020010019
298,020012702,POINT (-58.38541962077016 -34.62774888941664),Comuna 1,0019,020010019
299,020012703,POINT (-58.385569442515575 -34.629172897593335),Comuna 1,0019,020010019
300,020012704,POINT (-58.3848121922652 -34.63125999339947),Comuna 1,0019,020010019
301,020012705,POINT (-58.38340325254037 -34.631530891769906),Comuna 1,0019,020010019
302,020012706,POINT (-58.3834715490185 -34.629455893451656),Comuna 1,0019,020010019
303,020012707,POINT (-58.38207441058885 -34.629589037903976),Comuna 1,0019,020010019
304,020012708,POINT (-58.379745391597716 -34.62909619921292),Comuna 1,0019,020010019
320,020012901,POINT (-58.39022852724565 -34.62820345407459),Comuna 1,0019,020010019
321,020012902,POINT (-58.388273545060244 -34.62801464665116),Comuna 1,0019,020010019
322,020012903,POINT (-58.38747602192098 -34.62941229563339),Comuna 1,0019,020010019
323,020012904,POINT (-58.388549827510246 -34.63016083159469),Comuna 1,0019,020010019
324,020012905,POINT (-58.389965604165674 -34.63032853917806),Comuna 1,0019,020010019
325,020012906,POINT (-58.389174336018236 -34.631995380575944),Comuna 1,0019,020010019
326,020012907,POINT (-58.389144018574804 -34.63319419112289),Comuna 1,0019,020010019
